FID,CTY21CD,CTY21NM,column2,column3
1,E10000003,Cambridgeshire,,
2,E10000006,Cumbria,,
3,E10000007,Derbyshire,,
4,E10000008,Devon,,
5,E10000011,East Sussex,,
6,E10000012,Essex,,
7,E10000013,Gloucestershire,,
8,E10000014,Hampshire,,
9,E10000015,Hertfordshire,,
10,E10000016,Kent,,
11,E10000017,Lancashire,,
12,E10000018,Leicestershire,,
13,E10000019,Lincolnshire,,
14,E10000020,Norfolk,,
15,E10000023,North Yorkshire,,
16,E10000024,Nottinghamshire,,
17,E10000025,Oxfordshire,,
18,E10000027,Somerset,,
19,E10000028,Staffordshire,,
20,E10000029,Suffolk,,
21,E10000030,Surrey,,
22,E10000031,Warwickshire,,
23,E10000032,West Sussex,,
24,E10000034,Worcestershire,,
