objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
190,E07000173,Gedling, ,459184,347811,-1.11907,53.024342,120120105.89525,59267.8599647851
191,E07000174,Mansfield, ,455047,363637,-1.17804,53.16703,78367820.468284,45444.4194636805
192,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,651186526.652139,159155.851957952
193,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.912399,410575266.204033,104457.668921036
194,E07000177,Cherwell, ,449301,221201,-1.28506,51.887199,590762121.522377,184794.721033804
195,E07000178,Oxford, ,452277,206368,-1.24405,51.753571,45105986.5153584,30243.6411134713
196,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.622879,675265224.294246,172582.69298279
197,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65443,582881906.936691,146014.889847103
198,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.839901,713073679.608073,132447.034713829
199,E07000187,Mendip, ,362238,144090,-2.54178,51.194759,740774473.206609,164479.721956446
200,E07000188,Sedgemoor, ,338429,143998,-2.88246,51.19186,568372011.424625,159562.357159985
201,E07000189,South Somerset, ,345633,120798,-2.77588,50.98399,961158100.969126,195535.889607016
202,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.70166,79674051.0893223,41988.8442549209
203,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.83651,394049047.610257,138083.115001615
204,E07000194,Lichfield, ,416283,310967,-1.76049,52.696152,328434453.312804,104021.81345083
205,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32631,53.003448,210621411.87486,87776.1226300034
206,E07000196,South Staffordshire, ,389625,311037,-2.15495,52.696918,409479803.070197,152655.332750468
207,E07000197,Stafford, ,389001,327836,-2.16475,52.847919,598925439.774598,128778.872274948
208,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.069241,576424736.127171,120005.200161326
209,E07000199,Tamworth, ,421455,302550,-1.68451,52.620312,30613879.3794334,25384.2756741631
210,E07000200,Babergh, ,599987,244692,0.916149,52.064499,596936148.886347,140437.727020515
211,E07000202,Ipswich, ,617161,244456,1.166145,52.05592,39975034.6230939,28844.4280420756
212,E07000203,Mid Suffolk, ,611646,262338,1.096953,52.21859,873326991.56678,159692.968871505
213,E07000207,Elmbridge, ,511882,163658,-0.39441,51.360981,95445511.9430734,43265.2412446372
