OBJECTID,LAD20CD,LAD20NM,LAD20NMW,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
60,E07000010,Fenland, ,536361,294959,0.0090159997,52.535439,136403.379974394,-548320875.846329
61,E07000011,Huntingdonshire, ,521008,274269,-0.2247,52.353149,193568.986000984,-911218575.238769
62,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.108051,225220.831060765,-898564128.722951
63,E07000026,Allerdale, ,317520,532997,-3.2809,54.685242,202114.662099207,-1255997419.51849
64,E07000027,Barrow-in-Furness, ,321741,474165,-3.1998999,54.15731,85581.545494558,-74597924.0627193
65,E07000028,Carlisle, ,348576,565154,-2.80498,54.978329,179473.925183638,-1041241339.6661
66,E07000029,Copeland, ,310871,508739,-3.3766401,54.466171,142439.232914636,-740589572.968615
67,E07000030,Eden, ,359636,526396,-2.62678,54.631069,236157.203157497,-2159468222.06971
68,E07000031,South Lakeland, ,349265,489555,-2.78108,54.29908,239586.895187671,-1560618821.144
69,E07000032,Amber Valley, ,436166,348084,-1.46219,53.028839,85444.7262481982,-267681266.48613
70,E07000033,Bolsover, ,448666,371548,-1.27228,53.23875,82096.4194763555,-160954585.782177
71,E07000034,Chesterfield, ,440049,373359,-1.40115,53.255749,41521.4567240287,-65592701.8692924
72,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.12326,197736.975829844,-795379595.210646
73,E07000036,Erewash, ,443721,338063,-1.3509001,52.938202,57580.622577382,-108863746.303894
74,E07000037,High Peak, ,410474,387660,-1.84398,53.385689,133612.92951375,-539851897.894224
75,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.16243,129145.462960491,-274688141.14649
76,E07000039,South Derbyshire, ,431443,325363,-1.5348001,52.824902,128744.988918728,-336648446.103427
77,E07000040,East Devon, ,313790,96050,-3.2235899,50.757599,169999.596103481,-818295895.258765
78,E07000041,Exeter, ,293239,92005,-3.51368,50.717819,30622.2212779731,-46654961.8498795
79,E07000042,Mid Devon, ,288064,108911,-3.5921199,50.86882,204276.477064197,-906820123.649374
80,E07000043,North Devon, ,265110,132532,-3.9269099,51.07621,198485.351523007,-1091493100.01057
81,E07000044,South Hams, ,270676,54036,-3.8199601,50.371948,234574.690558979,-892121498.157035
82,E07000045,Teignbridge, ,283144,80205,-3.65289,50.60981,132633.259232417,-676060075.139734
83,E07000046,Torridge, ,244206,114334,-4.2172799,50.907391,225483.644618089,-986367932.267871
84,E07000047,West Devon, ,256376,86999,-4.0336099,50.66489,203128.9016415,-1167171395.59637
85,E07000061,Eastbourne, ,559339,99575,0.25851601,50.773869,29565.2269771294,-44412284.8850782
86,E07000062,Hastings, ,581528,110694,0.57839501,50.867241,27724.9801132081,-29408062.0214333
87,E07000063,Lewes, ,541474,105686,0.007671,50.833408,94178.2261197298,-292471813.317786
88,E07000064,Rother, ,578721,119666,0.54293698,50.948711,134081.528400286,-515728948.9099
89,E07000065,Wealden, ,555048,117180,0.205156,50.93322,169033.736900511,-839406175.025295
90,E07000066,Basildon, ,571548,190848,0.47505501,51.590359,48910.4402074431,-110769915.588097
91,E07000067,Braintree, ,577253,227335,0.57591099,51.91634,131727.891724061,-612574968.507885
92,E07000068,Brentwood, ,558560,196070,0.29009101,51.641079,62499.6745087456,-153037244.153209
93,E07000069,Castle Point, ,579490,187920,0.58808398,51.561588,39590.0550361793,-43417519.9310223
94,E07000070,Chelmsford, ,572116,206972,0.49117699,51.735031,94187.1167627565,-340537513.55629
95,E07000071,Colchester, ,596944,223693,0.85977697,51.877022,119135.191012115,-334457052.211205
96,E07000072,Epping Forest, ,548919,203758,0.154147,51.712791,101264.806748073,-339301257.055403
97,E07000073,Harlow, ,545276,209589,0.103888,51.76614,22091.2206166716,-29849413.0761565
98,E07000074,Maldon, ,591413,212072,0.77310598,51.774578,146325.102480838,-362473002.350065
99,E07000075,Rochford, ,585979,191417,0.683442,51.5909,104163.667838914,-167086945.679195
100,E07000076,Tendring, ,614190,222141,1.108981,51.856739,136935.301358037,-330776120.81767
101,E07000077,Uttlesford, ,557832,228865,0.294485,51.935921,138938.254981938,-645320729.848004
102,E07000078,Cheltenham, ,394925,222232,-2.07515,51.898609,31000.6848909493,-46538844.812369
103,E07000079,Cotswold, ,402125,208209,-1.97059,51.772549,275881.53107461,-1167648900.8812
104,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.812489,165365.449723125,-556456298.145918
105,E07000081,Gloucester, ,384071,216449,-2.23263,51.846409,28016.8047040126,-40597168.8924268
106,E07000082,Stroud, ,378807,202410,-2.3081801,51.720009,142776.214299069,-472511138.827714
107,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.934849,170195.507768741,-413608560.425122
108,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.259369,122971.049818635,-634599233.280504
109,E07000085,East Hampshire, ,474404,129237,-0.89999998,50,124145.932057116,-513806536.045596
110,E07000086,Eastleigh, ,447202,116802,-1.32943,50.948719,54486.1417028276,-77756128.4331609
111,E07000087,Fareham, ,453774,106319,-1.23742,50.853882,46543.3100652584,-73320887.0305035
112,E07000088,Gosport, ,458769,101088,-1.16731,50.806358,27072.233950435,-26230445.312934
113,E07000089,Hart, ,477985,154240,-0.88321,51.281971,65754.7794881366,-213323430.307491
114,E07000090,Havant, ,470178,108564,-1.00398,50.872311,62451.2469264612,-55975394.0125793
115,E07000091,New Forest, ,428748,106521,-1.59293,50.857479,168101.481261694,-755101011.624431
116,E07000092,Rushmoor, ,486022,153944,-0.76806998,51.278149,26427.419434277,-39413424.6417494
117,E07000093,Test Valley, ,434930,137329,-1.50214,51.134171,158135.341128813,-626217820.387766
118,E07000094,Winchester, ,453115,125901,-1.24393,51.030022,142796.070019979,-660893003.930121
119,E07000095,Broxbourne, ,534742,204251,-0.050730001,51.720798,34985.1175302326,-51741960.7321395
120,E07000096,Dacorum, ,500084,208745,-0.55097997,51.768452,93212.9647855771,-214795770.022252
121,E07000098,Hertsmere, ,519774,199352,-0.26899001,51.680168,52255.2330688981,-99202699.2589213
122,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.957378,142748.346122292,-372012879.61524
123,E07000102,Three Rivers, ,507313,196418,-0.45005,51.656319,64616.3511846815,-88926530.0280319
124,E07000103,Watford, ,510441,198197,-0.40428999,51.6717,21681.0689271707,-22713922.5201887
125,E07000105,Ashford, ,597640,140644,0.82337397,51.130959,122616.908222331,-582956339.772679
126,E07000106,Canterbury, ,616032,158096,1.096342,51.281021,95797.2583476351,-308421546.637275
127,E07000107,Dartford, ,556167,172917,0.245276,51.433731,44130.3271614716,-72797356.96775
128,E07000108,Dover, ,628964,150942,1.2768871,51.211761,93872.7889650679,-313015687.612584
129,E07000109,Gravesham, ,566969,169114,0.39874399,51.396488,50000.8990446649,-95968939.3990265
130,E07000110,Maidstone, ,580489,151670,0.58406103,51.235661,101298.680377461,-392203482.572577
131,E07000111,Sevenoaks, ,552776,155218,0.188936,51.275631,111493.944282884,-370530445.486061
132,E07000112,Folkestone and Hythe, ,610318,134595,1.000795,51.072128,127915.475125448,-360190194.56611
133,E07000113,Swale, ,593583,161818,0.77689302,51.32251,163246.330150154,-372073571.880873
134,E07000114,Thanet, ,631839,166752,1.328226,51.35252,46248.5490649339,-104353873.404873
135,E07000115,Tonbridge and Malling, ,564014,153898,0.34930599,51.260639,91656.6902734208,-243613407.557213
136,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.102539,117002.359413129,-327429439.059619
137,E07000117,Burnley, ,384886,430882,-2.2307999,53.774059,48840.1303004996,-111744597.97098
138,E07000118,Chorley, ,359189,419724,-2.61921,53.672401,77347.7464790319,-202983727.28554
139,E07000119,Fylde, ,339554,433811,-2.9191401,53.797089,67335.5236935594,-164117281.994981
140,E07000120,Hyndburn, ,374407,428971,-2.3896401,53.756481,36312.5104655109,-73015503.1617829
141,E07000121,Lancaster, ,356896,464988,-2.6603,54.07901,167797.392829473,-580198291.074633
142,E07000122,Pendle, ,387637,443368,-2.18957,53.88636,66104.8783597392,-166912809.701308
143,E07000123,Preston, ,352825,436432,-2.7180901,53.822021,61284.8615313238,-142889484.479753
144,E07000124,Ribble Valley, ,372687,447676,-2.4173999,53.9245,127503.242525107,-583088640.57076
145,E07000125,Rossendale, ,382827,420955,-2.2614901,53.68478,62470.7413737989,-136992197.340402
146,E07000126,South Ribble, ,352017,425840,-2.7287099,53.726749,66247.3907158228,-115175204.762763
147,E07000127,West Lancashire, ,342611,413270,-2.8689301,53.612831,108677.626451364,-347370085.528926
148,E07000128,Wyre, ,347295,445159,-2.8035901,53.89991,114119.197251463,-285610634.253669
149,E07000129,Blaby, ,454385,297994,-1.1988699,52.577061,80278.7476985504,-130075520.505957
150,E07000130,Charnwood, ,458365,316155,-1.13694,52.739899,93463.6246503569,-275627201.428276
151,E07000131,Harborough, ,474549,293875,-0.90228999,52.537659,142448.602364299,-594890301.120907
152,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.608768,93517.8416562169,-300065242.895738
153,E07000133,Melton, ,477328,323472,-0.85439998,52.803291,116588.575160207,-484033976.370951
154,E07000134,North West Leicestershire, ,439111,316252,-1.4220901,52.7425,95775.8668063787,-278295763.715317
155,E07000135,Oadby and Wigston, ,461543,299379,-1.0930001,52.588749,23050.2510544195,-23221816.1054285
156,E07000136,Boston, ,526851,343953,-0.11218,52.97794,105055.966415107,-365480950.928036
157,E07000137,East Lindsey, ,534861,376064,0.020516001,53.264462,207037.178715188,-1772840626.01964
158,E07000138,Lincoln, ,496347,370096,-0.55848002,53.219212,28546.9242862253,-34776950.2810334
159,E07000139,North Kesteven, ,502135,354788,-0.47670001,53.080582,163501.578604876,-921048722.356989
160,E07000140,South Holland, ,532910,322928,-0.03057,52.787579,141550.211873492,-755106093.148561
161,E07000141,South Kesteven, ,501406,328986,-0.49564999,52.84885,184694.096770289,-942016773.323425
162,E07000142,West Lindsey, ,499314,390326,-0.50774002,53.40044,221129.390113854,-1158109574.94258
163,E07000143,Breckland, ,591015,303330,0.81871599,52.594212,206994.718333475,-1301635291.91695
164,E07000144,Broadland, ,619864,315909,1.252317,52.69622,166558.484557316,-551971935.543456
165,E07000145,Great Yarmouth, ,646761,315881,1.64951,52.684391,76391.0020373951,-180470408.017949
166,E07000146,King's Lynn and West Norfolk, ,571219,315805,0.533243,52.71283,243140.331059106,-1437543521.63819
167,E07000147,North Norfolk, ,611076,330857,1.132099,52.833889,222421.302207638,-961332382.322258
168,E07000148,Norwich, ,622355,309773,1.284979,52.640129,35520.6943754003,-39013087.0110703
169,E07000149,South Norfolk, ,628990,295823,1.373233,52.51218,197259.780692859,-908690749.452545
170,E07000150,Corby, ,487862,290681,-0.7069,52.506969,52976.1744786332,-80022082.8730645
171,E07000151,Daventry, ,467286,268437,-1.01447,52.30994,146438.474228952,-664302156.944507
172,E07000152,East Northamptonshire, ,501344,287839,-0.50919998,52.479092,138054.510683556,-509088787.388009
173,E07000153,Kettering, ,483866,282852,-0.76773,52.437229,79582.6270829398,-236661757.825679
174,E07000154,Northampton, ,476495,260539,-0.88121003,52.237751,38381.6880843434,-82550641.3607761
175,E07000155,South Northamptonshire, ,463000,247077,-1.08129,52.118439,185039.866123709,-627655460.084926
176,E07000156,Wellingborough, ,487787,266827,-0.71425003,52.29258,61125.3161624824,-166028815.974148
177,E07000163,Craven, ,389513,461989,-2.16168,54.053761,173493.435786727,-1183446002.04613
178,E07000164,Hambleton, ,443009,490546,-1.34049,54.30872,256073.990725756,-1308990477.64596
179,E07000165,Harrogate, ,427473,464652,-1.58161,54.07708,211576.8818007,-1306604424.52832
180,E07000166,Richmondshire, ,401039,495786,-1.98552,54.357609,196158.860431074,-1322210844.88815
181,E07000167,Ryedale, ,475590,478890,-0.84276998,54.200211,220948.363092817,-1510343027.08917
182,E07000168,Scarborough, ,495798,495548,-0.52778,54.3465,200718.188326702,-816224490.182734
183,E07000169,Selby, ,457551,426670,-1.1290801,53.733269,145992.149294426,-606325032.769877
184,E07000170,Ashfield, ,450035,355843,-1.25422,53.097469,57593.5065691221,-108522422.369092
185,E07000171,Bassetlaw, ,468073,384835,-0.97869998,53.356041,136469.052799925,-639297385.903073
186,E07000172,Broxtowe, ,449829,341893,-1.2594399,52.972099,52747.5671153141,-79451505.7425728
187,E07000173,Gedling, ,459184,347811,-1.1190701,53.024342,59267.8599647837,-120120105.895253
188,E07000174,Mansfield, ,455047,363637,-1.17804,53.16703,45444.4194636808,-78367820.468284
189,E07000175,Newark and Sherwood, ,470624,357451,-0.94643003,53.1096,159292.081065811,-651135384.666329
190,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.912399,104457.668921033,-410575266.204035
191,E07000177,Cherwell, ,449301,221201,-1.28506,51.887199,184794.721033809,-590762121.52238
192,E07000178,Oxford, ,452277,206368,-1.24405,51.753571,30243.6411134712,-45105986.515356
193,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.622879,172264.462060174,-676304174.131844
194,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65443,146014.889847101,-582881906.936689
195,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.839901,132447.034713829,-713073679.608077
196,E07000187,Mendip, ,362238,144090,-2.54178,51.194759,164479.721956446,-740774473.206613
197,E07000188,Sedgemoor, ,338429,143998,-2.8824601,51.19186,160376.464874186,-567104633.456869
198,E07000189,South Somerset, ,345633,120798,-2.7758801,50.98399,195453.927770243,-962131766.525469
199,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.70166,41988.8442549197,-79674051.0893224
200,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.83651,138083.11500162,-394049047.610254
201,E07000194,Lichfield, ,416283,310967,-1.7604899,52.696152,104021.813450823,-328434453.312806
202,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.3263099,53.003448,87776.1226300063,-210621411.874863
203,E07000196,South Staffordshire, ,389625,311037,-2.1549499,52.696918,152655.33275047,-409479803.070195
204,E07000197,Stafford, ,389001,327836,-2.1647501,52.847919,128778.872274956,-598925439.774612
205,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.069241,120005.200161328,-576424736.127169
206,E07000199,Tamworth, ,421455,302550,-1.68451,52.620312,25384.2756741617,-30613879.3794304
207,E07000200,Babergh, ,599987,244692,0.91614902,52.064499,143747.531735955,-594963367.44468
208,E07000202,Ipswich, ,617161,244456,1.166145,52.05592,29187.8756753917,-40844683.5324653
209,E07000203,Mid Suffolk, ,611646,262338,1.096953,52.21859,159692.968871504,-873326991.566775
210,E07000207,Elmbridge, ,511882,163658,-0.39441001,51.360981,43265.2412446416,-95445511.9430783
211,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.339451,26065.5221260546,-34819300.3767411
212,E07000209,Guildford, ,500408,151481,-0.56256998,51.253658,104284.418643208,-271962367.118839
213,E07000210,Mole Valley, ,518377,148953,-0.30603001,51.227489,84131.8636408555,-256062692.343854
214,E07000211,Reigate and Banstead, ,525786,152574,-0.19870999,51.258461,61530.9442699762,-129075181.822802
215,E07000212,Runnymede, ,501777,166979,-0.53855002,51.392731,37971.652042701,-79350129.2237104
216,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41552,34314.7997371659,-51875873.9543188
217,E07000214,Surrey Heath, ,491362,160483,-0.68985999,51.336102,46464.6679289864,-97022373.4408055
218,E07000215,Tandridge, ,536365,150325,-0.048050001,51.235809,69706.0396709635,-247431183.307275
219,E07000216,Waverley, ,496363,140635,-0.60000002,50,102272.670803001,-342983597.314543
220,E07000217,Woking, ,499087,157542,-0.57981998,51.308369,41474.9128572706,-61706657.2486266
221,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.564838,96478.8783679953,-285090612.987698
222,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.500938,40985.6677355621,-77956834.2374922
223,E07000220,Rugby, ,446498,276244,-1.31828,52.382278,96983.2055659896,-349027031.216869
224,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.161541,217998.265507714,-979529720.230181
225,E07000222,Warwick, ,428484,267113,-1.58369,52.301418,91460.5108497818,-283003861.245519
226,E07000223,Adur, ,518076,106472,-0.32416999,50.845718,31646.783515532,-41256603.4801347
227,E07000224,Arun, ,495144,105723,-0.64999002,50.843208,96774.63907898,-224516471.820402
228,E07000225,Chichester, ,490285,116600,-0.71630001,50.941769,182043.178219739,-786850847.487548
229,E07000226,Crawley, ,526390,137581,-0.19532999,51.123569,33575.9877817937,-45831355.9339914
230,E07000227,Horsham, ,513674,123840,-0.38126001,51.00272,128161.261463293,-530018507.857217
231,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.059528,108958.988468415,-336802141.145503
232,E07000229,Worthing, ,512679,104948,-0.40127,50.833099,25741.8272547054,-30613446.7289103
233,E07000234,Bromsgrove, ,399840,273736,-2.0037601,52.361691,90567.132107399,-218023939.407824
234,E07000235,Malvern Hills, ,377465,252197,-2.3308899,52.16758,187652.46804331,-579708192.719125
235,E07000236,Redditch, ,403705,265253,-1.9471,52.285412,32533.5188480734,-55070594.8725745
236,E07000237,Worcester, ,385725,255196,-2.2102499,52.19482,23906.971747603,-34532079.0234438
237,E07000238,Wychavon, ,398991,247839,-2.01614,52.12886,184017.0813052,-659848231.50153
238,E07000239,Wyre Forest, ,384106,276388,-2.2349401,52.3853,82043.4435907608,-196196712.4123
239,E07000240,St Albans, ,514580,209623,-0.3407,51.77356,63002.8257210594,-158865311.523541
240,E07000241,Welwyn Hatfield, ,525345,208467,-0.18517999,51.760872,69326.056596373,-129449585.049058
241,E07000242,East Hertfordshire, ,537995,220370,0.0027389999,51.864849,112056.976391477,-477740893.57336
242,E07000243,Stevenage, ,524622,224531,-0.18987,51.905392,22050.2143265599,-26824166.0814166
243,E07000244,East Suffolk, ,636043,266272,1.4561861,52.243992,230638.67610134,-1281461206.28242
244,E07000245,West Suffolk, ,580944,271124,0.65276903,52.308418,220613.29740625,-1034496710.3862
245,E07000246,Somerset West and Taunton, ,304960,130228,-3.3576601,51.06348,233156.429711713,-1191177860.49499
246,E08000001,Bolton, ,368352,409873,-2.4795201,53.584492,64700.0073741873,-138708159.81058
247,E08000002,Bury, ,379658,410768,-2.3088,53.593102,57024.343964005,-100752668.832523
248,E08000003,Manchester, ,384591,397063,-2.2335899,53.470089,69389.3342447551,-111895372.049983
249,E08000004,Oldham, ,396603,406784,-2.0527401,53.557678,60962.5161536524,-144009083.688847
250,E08000005,Rochdale, ,390315,412326,-2.14784,53.60741,70324.1997306319,-156240276.628961
251,E08000006,Salford, ,374556,398128,-2.38485,53.479271,56607.4574926673,-97966760.8522574
252,E08000007,Stockport, ,391806,388264,-2.12467,53.391159,56951.0021071987,-125536175.953434
253,E08000008,Tameside, ,394987,397995,-2.0769999,53.478668,43841.7215072139,-102159712.453142
254,E08000009,Trafford, ,375790,391162,-2.36572,53.41671,50772.1551214183,-108001520.134194
255,E08000010,Wigan, ,362136,402126,-2.5724699,53.51445,71520.3471690432,-188328606.71837
256,E08000011,Knowsley, ,344762,393778,-2.8329699,53.437881,57788.9038805896,-86257644.2380205
257,E08000012,Liverpool, ,339361,390553,-2.91364,53.408298,54583.1661367886,-112980859.111845
258,E08000013,St. Helens, ,353412,395992,-2.7031,53.458618,64907.6417699786,-135955079.347702
259,E08000014,Sefton, ,334282,398832,-2.99177,53.482101,90566.5308544862,-153244592.755785
260,E08000015,Wirral, ,329110,386965,-3.0670099,53.374779,55500.3984764308,-152732388.201951
261,E08000016,Barnsley, ,429979,403327,-1.54925,53.525768,106147.881594816,-327231730.553471
262,E08000017,Doncaster, ,459167,403735,-1.10894,53.52697,116245.904311694,-567273208.501096
263,E08000018,Rotherham, ,447542,388980,-1.28651,53.395531,88845.3632514031,-289185192.302458
264,E08000019,Sheffield, ,430511,389736,-1.54254,53.40358,114173.751548161,-366749529.310546
265,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.021011,53436.5447599311,-113009178.20583
266,E08000022,North Tyneside, ,431471,570602,-1.50923,55.028961,48716.7325444163,-83782864.3470132
267,E08000023,South Tyneside, ,435514,564057,-1.44679,54.969879,33704.0447748324,-62186626.2331504
268,E08000024,Sunderland, ,436470,551524,-1.43344,54.857189,57291.2728352348,-136397343.069126
269,E08000025,Birmingham, ,408150,287352,-1.88141,52.484039,88776.3432187477,-269026608.653707
270,E08000026,Coventry, ,432807,279689,-1.51908,52.41423,43481.4057273969,-99799013.6588529
271,E08000027,Dudley, ,393191,288584,-2.1017101,52.495129,60125.2237570879,-97264778.3218851
272,E08000028,Sandwell, ,399573,290764,-2.00771,52.514771,48306.2485949548,-85222122.4991165
273,E08000029,Solihull, ,419434,281483,-1.71558,52.431,82695.460772941,-177542587.905797
274,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,49836.8728324194,-104027261.810831
275,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.597881,41126.9610793456,-69466620.759775
276,E08000032,Bradford, ,408395,438626,-1.87389,53.843819,113226.190390702,-368386843.278922
277,E08000033,Calderdale, ,402617,424896,-1.96182,53.720482,94050.2456636642,-367618489.551433
278,E08000034,Kirklees, ,414586,416223,-1.7808501,53.64233,106837.808448509,-405306353.685138
279,E08000035,Leeds, ,432528,436384,-1.50736,53.822731,133753.100779886,-550578568.396981
280,E08000036,Wakefield, ,438366,418235,-1.42092,53.659222,90373.7394989731,-337273075.097138
281,E08000037,Gateshead, ,420168,559658,-1.6868,54.931198,67934.528109842,-147556282.328885
282,E09000001,City of London, ,532382,181358,-0.093510002,51.51564,6902.14934515467,-2677107.49684891
283,E09000002,Barking and Dagenham, ,547757,185111,0.12947901,51.545551,31245.4856891574,-36393697.9841934
284,E09000003,Barnet, ,523473,191752,-0.21819,51.611069,41943.7866617034,-86664945.9042041
