OBJECTID,LAD20CD,LAD20NM,LAD20NMW,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,51065.2959126344,-96029870.6708467
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,35500.3867452485,-55231394.2093227
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,78449.3892396539,-248342847.94384
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,87566.566060878,-205231414.427653
5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,91926.8395447382,-198812770.766707
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,59054.981307065,-82890886.7071891
7,E06000007,Warrington, ,362744,388456,-2.5616701,53.391628,71969.486708141,-178742992.981357
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4635999,53.700802,55099.1506570023,-139386372.837703
9,E06000009,Blackpool, ,332819,436635,-3.0219901,53.82164,29836.1563680106,-33544769.4871176
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382001,53.769199,41042.5011604266,-70878198.3373082
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66194999,53.881119,340793.497810578,-2412613738.89523
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,75953.9464686513,-187657861.148655
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407002,53.58643,177069.182075893,-846504712.657268
14,E06000014,York, ,460864,452589,-1.07375,53.96582,84229.8119266522,-275337364.606917
15,E06000015,Derby, ,435609,335375,-1.47189,52.914639,40201.8369858684,-78270268.2160091
16,E06000016,Leicester, ,458946,304594,-1.1303999,52.635921,40830.2301887663,-73589165.1551729
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.667648,96395.3187509396,-392185479.476863
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.954189,49574.8901430337,-75870408.955196
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.081539,285426.725653293,-2180535921.47886
20,E06000020,Telford and Wrekin, ,367035,313057,-2.4894099,52.714169,93575.1938714998,-291802973.438352
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.017071,51304.0331368415,-92988650.0173675
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.4865401,51.356041,107062.696328706,-348611816.210552
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.471149,63557.8612004235,-109330796.983861
24,E06000024,North Somerset, ,347614,166718,-2.75438,51.39706,109731.313803356,-372311828.356559
25,E06000025,South Gloucestershire, ,367559,183198,-2.4692199,51.54673,116032.943494706,-522992145.367848
26,E06000026,Plymouth, ,249945,58255,-4.1129699,50.404942,49419.7959385561,-82887770.2532619
27,E06000027,Torbay, ,289730,64613,-3.5552299,50.470921,56146.1355861174,-64585349.2308042
28,E06000030,Swindon, ,418551,186564,-1.73367,51.577629,83649.254196991,-227720526.640504
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,97208.3826482827,-341526539.430695
30,E06000032,Luton, ,508606,222559,-0.42319,51.891022,30772.5559397546,-44068117.7992678
31,E06000033,Southend-on-Sea, ,587777,186837,0.70692301,51.549171,33131.3544512127,-44205147.5177647
32,E06000034,Thurrock, ,562123,181590,0.33486101,51.509979,68731.0048286447,-162739408.424064
33,E06000035,Medway, ,578207,175198,0.56317401,51.44772,112723.919080566,-191217828.31016
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.411301,57917.0191370737,-108233672.335584
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.445591,143114.430665937,-701217777.186148
36,E06000038,Reading, ,470226,173154,-0.99071002,51.453018,30503.9475666732,-41326311.0230798
37,E06000039,Slough, ,498920,179246,-0.57617003,51.503502,37004.5367813503,-32201925.6620227
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67540997,51.480339,102785.912931044,-197867256.121639
39,E06000041,Wokingham, ,476624,169902,-0.89934999,51.422958,75874.001667713,-179124859.588279
40,E06000042,Milton Keynes, ,486408,242308,-0.74070001,52.072411,87925.4078110089,-309327268.513171
41,E06000043,Brighton and Hove, ,530279,106850,-0.15079001,50.8465,48465.2595079761,-85523816.9097939
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.807999,51554.1793642027,-39178188.5313964
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,38059.1784530292,-53090944.0732104
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.671291,107978.588403458,-381511432.427765
45,E06000047,County Durham, ,410381,532242,-1.8405,54.685131,263873.617316414,-2231981189.70857
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.167931,236392.416985265,-1168796057.5599
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.163361,214193.425388783,-916831933.278578
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,469624.12470206,-3188264185.45653
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.450218,546004.838435013,-3575746111.94125
50,E06000053,Isles of Scilly, ,91327,11447,-6.3021698,49.923321,40530.3596244933,-13752661.8738607
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.328831,348922.106721656,-3258221477.74873
52,E06000055,Bedford, ,505721,256463,-0.45462999,52.196281,115931.402375604,-475803430.16787
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47753999,51.999031,200740.568495412,-709169826.973608
54,E06000057,Northumberland, ,395322,600699,-2.0752299,55.300369,424657.525904154,-5027276699.47936
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94066,-1.84807,50.74609,94498.4970523302,-162067280.153285
56,E06000059,Dorset, ,370871,99796,-2.41467,50.79697,388925.084855931,-2487596432.62584
57,E06000060,Buckinghamshire, ,482506,208561,-0.80568999,51.769661,301381.02531839,-1572439224.26833
58,E07000008,Cambridge, ,545420,257901,0.126436,52.200169,30618.5641218865,-40207020.326669
59,E07000009,East Cambridgeshire, ,555576,275765,0.283149,52.35788,166638.442876232,-657742533.360079
