lad11cd,lad11cdo,lad11nm,lad11nmw,objectid,st_lengthshape,st_areashape
E06000001,00EB,Hartlepool, ,1,68996.6777539959,93892900.8510335
E06000002,00EC,Middlesbrough, ,2,44917.9255372865,53861837.2776398
E06000003,00EE,Redcar and Cleveland, ,3,93270.8668738212,244915894.654276
E06000004,00EF,Stockton-on-Tees, ,4,155579.742598793,203920096.638313
E06000005,00EH,Darlington, ,5,105743.46466193,197473286.069744
E06000006,00ET,Halton, ,6,76288.3547700682,79115070.0013406
E06000007,00EU,Warrington, ,7,106289.970177054,180652645.829371
E06000008,00EX,Blackburn with Darwen, ,8,63751.4015054774,137057234.488618
E06000009,00EY,Blackpool, ,9,34572.6452214983,34891755.4624352
E06000010,00FA,"Kingston upon Hull, City of", ,10,63330.1723660073,71455741.2120017
E06000011,00FB,East Riding of Yorkshire, ,11,495348.76632763,2408942336.18064
E06000012,00FC,North East Lincolnshire, ,12,85106.7183835394,191914615.958566
E06000013,00FD,North Lincolnshire, ,13,237739.686396019,846326949.07659
E06000014,00FF,York, ,14,100454.889225325,271945015.860084
E06000015,00FK,Derby, ,15,49198.6653203201,78022285.8276068
E06000016,00FN,Leicester, ,16,50738.6446608317,73382201.581661
E06000017,00FP,Rutland, ,17,120281.135192083,393746478.459892
E06000018,00FY,Nottingham, ,18,58004.1836632598,74604857.4524588
E06000019,00GA,"Herefordshire, County of", ,19,338445.332835409,2179713133.72355
E06000020,00GF,Telford and Wrekin, ,20,115372.502485502,290320757.030355
E06000021,00GL,Stoke-on-Trent, ,21,62210.6329831151,93416772.9841995
E06000022,00HA,Bath and North East Somerset, ,22,137362.663267172,351163412.841972
E06000023,00HB,"Bristol, City of", ,23,106292.4380777,109629006.56844
E06000024,00HC,North Somerset, ,24,148543.704395556,374674916.210752
E06000025,00HD,South Gloucestershire, ,25,138531.075653321,496948115.061032
E06000026,00HG,Plymouth, ,26,88154.9753374419,79829488.1451244
E06000027,00HH,Torbay, ,27,73386.5242723963,62933928.8271439
E06000028,00HN,Bournemouth, ,28,47049.4714656099,46203186.2160025
E06000029,00HP,Poole, ,29,69299.1925074834,64741280.0451374
E06000030,00HX,Swindon, ,30,99597.2465475184,230094937.35483
E06000031,00JA,Peterborough, ,31,111026.368764175,343421971.179071
E06000032,00KA,Luton, ,32,34269.1191058249,43359023.2348898
E06000033,00KF,Southend-on-Sea, ,33,42064.7783012531,41751915.3801746
E06000034,00KG,Thurrock, ,34,91844.9287368804,163302842.090666
E06000035,00LC,Medway, ,35,160836.686018427,191973955.173759
E06000036,00MA,Bracknell Forest, ,36,61832.2467180313,109344955.262075
E06000037,00MB,West Berkshire, ,37,163462.74305288,704150827.523283
E06000038,00MC,Reading, ,38,38621.0607455878,40384051.4880479
E06000039,00MD,Slough, ,39,43424.3611525363,32534133.1793743
E06000040,00ME,Windsor and Maidenhead, ,40,113816.714264099,198431787.801344
E06000041,00MF,Wokingham, ,41,85666.2454110191,178975958.901058
E06000042,00MG,Milton Keynes, ,42,100993.493738674,308636540.984484
E06000043,00ML,Brighton and Hove, ,43,58553.4811312293,82694361.5688929
E06000044,00MR,Portsmouth, ,44,58011.7381213773,40390063.7517215
E06000045,00MS,Southampton, ,45,57218.6893108329,49888738.3762318
E06000046,00MW,Isle of Wight, ,46,181426.124839515,380210663.211906
E06000047,00EJ,County Durham, ,47,309646.039636669,2231584310.54122
E06000048,00EM,Northumberland, ,48,565427.825406832,5026236356.37818
E06000049,00EQ,Cheshire East, ,49,289476.545725471,1166348338.66077
E06000050,00EW,Cheshire West and Chester, ,50,296972.967987335,916645818.876178
E06000051,00GG,Shropshire, ,51,558112.393574034,3197394453.39329
E06000052,00HE,Cornwall, ,52,1097048.16346498,3549737363.90102
E06000053,00HF,Isles of Scilly, ,53,105412.835273119,16427204.3355058
E06000054,00HY,Wiltshire, ,54,394496.64476848,3255357312.01096
E06000055,00KB,Bedford, ,55,129949.149945737,476384480.590235
E06000056,00KC,Central Bedfordshire, ,56,229138.188632907,715582642.567461
