lad11cd,lad11cdo,lad11nm,lad11nmw,objectid,st_lengthshape,st_areashape
E07000004,11UB,Aylesbury Vale, ,57,237391.706323195,902705884.905394
E07000005,11UC,Chiltern, ,58,86108.6136032508,196385643.238197
E07000006,11UE,South Bucks, ,59,83950.816635331,141268553.331232
E07000007,11UF,Wycombe, ,60,111670.065662658,324625758.790075
E07000008,12UB,Cambridge, ,61,36894.9909063842,40705199.1592768
E07000009,12UC,East Cambridgeshire, ,62,231624.497015043,651337043.64133
E07000010,12UD,Fenland, ,63,186330.376390566,546479151.325391
E07000011,12UE,Huntingdonshire, ,64,220750.503743812,912569256.902175
E07000012,12UG,South Cambridgeshire, ,65,254495.868181903,901696897.142364
E07000026,16UB,Allerdale, ,66,323825.104868691,1257839241.41955
E07000027,16UC,Barrow-in-Furness, ,67,115356.97201682,77938160.9131116
E07000028,16UD,Carlisle, ,68,268186.59601712,1039207963.00314
E07000029,16UE,Copeland, ,69,226041.025044868,737691468.182667
E07000030,16UF,Eden, ,70,264029.245113229,2156542966.95755
E07000031,16UG,South Lakeland, ,71,373336.905276418,1552924376.44892
E07000032,17UB,Amber Valley, ,72,103844.598029363,265400532.637212
E07000033,17UC,Bolsover, ,73,92989.1026054869,160352012.632089
E07000034,17UD,Chesterfield, ,74,51096.1871725904,66029547.5980822
E07000035,17UF,Derbyshire Dales, ,75,237509.512861703,795432800.16934
E07000036,17UG,Erewash, ,76,71601.2548384627,109642548.020748
E07000037,17UH,High Peak, ,77,156420.062741107,540226425.408582
E07000038,17UJ,North East Derbyshire, ,78,154862.089418148,275671277.367425
E07000039,17UK,South Derbyshire, ,79,162433.238305193,338091616.379234
E07000040,18UB,East Devon, ,80,211609.408103253,814494510.129772
E07000041,18UC,Exeter, ,81,46102.1983605587,47045334.0684343
E07000042,18UD,Mid Devon, ,82,238103.00284665,912825368.290731
E07000043,18UE,North Devon, ,83,286370.130677136,1085976907.45737
E07000044,18UG,South Hams, ,84,433712.943494967,886563330.267379
E07000045,18UH,Teignbridge, ,85,183653.619230997,673878313.712837
E07000046,18UK,Torridge, ,86,296130.363233243,985330977.956656
E07000047,18UL,West Devon, ,87,237705.349102932,1161044414.00728
E07000048,19UC,Christchurch, ,88,61077.7155632481,50411443.5392121
E07000049,19UD,East Dorset, ,89,136334.857722812,354427797.867925
E07000050,19UE,North Dorset, ,90,155146.146505368,609266417.947825
E07000051,19UG,Purbeck, ,91,208687.646253813,404390048.131517
E07000052,19UH,West Dorset, ,92,277675.474274625,1081584633.87065
E07000053,19UJ,Weymouth and Portland, ,93,70808.3620797948,41824024.2682662
E07000061,21UC,Eastbourne, ,94,34443.213678862,44154196.208152
E07000062,21UD,Hastings, ,95,32914.9260518136,29725814.5947165
E07000063,21UF,Lewes, ,96,163992.130785276,292070072.151375
E07000064,21UG,Rother, ,97,171911.817371066,511762494.822901
E07000065,21UH,Wealden, ,98,216164.721976499,834964271.023987
E07000066,22UB,Basildon, ,99,69989.6467766634,110012489.57957
E07000067,22UC,Braintree, ,100,164206.970727726,611695026.598827
E07000068,22UD,Brentwood, ,101,70298.869254869,153140714.077074
E07000069,22UE,Castle Point, ,102,65357.7365548128,45033341.6748143
E07000070,22UF,Chelmsford, ,103,121689.210494936,342254628.521649
E07000071,22UG,Colchester, ,104,197501.599884599,333131583.04628
E07000072,22UH,Epping Forest, ,105,120730.179312351,338970122.853002
E07000073,22UJ,Harlow, ,106,27880.8009432002,30530207.6571215
E07000074,22UK,Maldon, ,107,266613.066960972,358738436.185082
E07000075,22UL,Rochford, ,108,169309.319737631,169376761.239622
E07000076,22UN,Tendring, ,109,216269.426286571,337675486.382742
E07000077,22UQ,Uttlesford, ,110,163603.453048261,641130051.566106
E07000078,23UB,Cheltenham, ,111,36549.4840185892,46591434.3848649
E07000079,23UC,Cotswold, ,112,324244.108519872,1164531384.21703
E07000080,23UD,Forest of Dean, ,113,184152.164865448,526498659.628371
E07000081,23UE,Gloucester, ,114,32846.1385877145,40542708.5814534
E07000082,23UF,Stroud, ,115,167647.762127496,460722872.814398
E07000083,23UG,Tewkesbury, ,116,199897.720024868,414399414.196201
E07000084,24UB,Basingstoke and Deane, ,117,140486.97642146,633796028.870142
E07000085,24UC,East Hampshire, ,118,141909.017865032,514432252.12921
E07000086,24UD,Eastleigh, ,119,70546.6800252341,79786624.5668064
E07000087,24UE,Fareham, ,120,62371.0610326973,74267411.9224811
E07000088,24UF,Gosport, ,121,37126.8487580945,25328371.3200741
E07000089,24UG,Hart, ,122,76263.691354512,215269198.032021
E07000090,24UH,Havant, ,123,91693.8821379904,55341401.689445
E07000091,24UJ,New Forest, ,124,249847.529474884,753043713.884958
E07000092,24UL,Rushmoor, ,125,30747.7128307791,39049601.4640668
E07000093,24UN,Test Valley, ,126,185553.342796372,627601075.091826
E07000094,24UP,Winchester, ,127,168930.62706199,660959646.840693
E07000095,26UB,Broxbourne, ,128,38474.8001288515,51452095.7858036
E07000096,26UC,Dacorum, ,129,108890.554532742,212453283.496048
E07000097,26UD,East Hertfordshire, ,130,132832.545989526,475730604.948512
E07000098,26UE,Hertsmere, ,131,60225.8246355394,101155623.454564
E07000099,26UF,North Hertfordshire, ,132,165920.90085583,375366901.333725
E07000100,26UG,St Albans, ,133,71782.2157452328,161206594.02831
E07000101,26UH,Stevenage, ,134,28210.881619571,25937491.2469136
E07000102,26UJ,Three Rivers, ,135,73178.304619765,88811742.3752446
E07000103,26UK,Watford, ,136,25909.3314942863,21395455.8785974
E07000104,26UL,Welwyn Hatfield, ,137,81008.5150627068,129513120.730902
E07000105,29UB,Ashford, ,138,146597.818023333,580583721.133636
E07000106,29UC,Canterbury, ,139,127894.595370958,308874519.906209
E07000107,29UD,Dartford, ,140,54616.0798222941,72765210.6887814
E07000108,29UE,Dover, ,141,136756.73888986,315060575.19735
E07000109,29UG,Gravesham, ,142,58916.5803461776,99057041.0963996
E07000110,29UH,Maidstone, ,143,120135.215845152,393320278.791411
E07000111,29UK,Sevenoaks, ,144,130903.851030865,370332586.274602
E07000112,29UL,Shepway, ,145,145765.010722448,356719352.283703
E07000113,29UM,Swale, ,146,238306.553549762,373352534.44974
E07000114,29UN,Thanet, ,147,55278.7929123589,103378723.160475
E07000115,29UP,Tonbridge and Malling, ,148,130358.97793352,240120221.725976
E07000116,29UQ,Tunbridge Wells, ,149,145101.135350712,331306415.603312
E07000117,30UD,Burnley, ,150,56278.0729682848,110689871.411993
E07000118,30UE,Chorley, ,151,98990.1383201876,202747017.988148
E07000119,30UF,Fylde, ,152,97939.4751291599,165657081.794246
E07000120,30UG,Hyndburn, ,153,41787.4292994784,73004069.8842261
E07000121,30UH,Lancaster, ,154,295746.087864875,575739427.127401
E07000122,30UJ,Pendle, ,155,77797.7554997868,169373814.23734
E07000123,30UK,Preston, ,156,77415.6434003699,142297554.38426
E07000124,30UL,Ribble Valley, ,157,147499.714539978,584451397.802729
E07000125,30UM,Rossendale, ,158,70162.3989026216,138019590.108785
E07000126,30UN,South Ribble, ,159,91454.359227043,112978770.611956
E07000127,30UP,West Lancashire, ,160,151171.528604528,346754243.172997
E07000128,30UQ,Wyre, ,161,173896.664287064,282488099.301282
E07000129,31UB,Blaby, ,162,97753.5618437772,130478317.226788
E07000130,31UC,Charnwood, ,163,112546.918315117,279019174.034541
E07000131,31UD,Harborough, ,164,178058.468161277,592724608.713074
E07000132,31UE,Hinckley and Bosworth, ,165,108988.305751399,297359414.00558
E07000133,31UG,Melton, ,166,136329.11498399,481354033.534243
E07000134,31UH,North West Leicestershire, ,167,113576.653132331,279327779.283733
E07000135,31UJ,Oadby and Wigston, ,168,30026.0748300658,23517258.2700517
E07000136,32UB,Boston, ,169,157242.22604076,361517859.080214
E07000137,32UC,East Lindsey, ,170,328712.440517224,1760184885.0266
E07000138,32UD,Lincoln, ,171,32705.1994662552,35645228.0325929
E07000139,32UE,North Kesteven, ,172,180167.229171032,922456423.679626
E07000140,32UF,South Holland, ,173,193025.199198904,742291963.697066
E07000141,32UG,South Kesteven, ,174,206869.836718484,942606582.842817
E07000142,32UH,West Lindsey, ,175,246935.802497454,1155675031.96722
E07000143,33UB,Breckland, ,176,236025.61571739,1305117546.37231
E07000144,33UC,Broadland, ,177,201212.928689238,552379003.434542
E07000145,33UD,Great Yarmouth, ,178,134754.242272458,174194713.221526
E07000146,33UE,King's Lynn and West Norfolk, ,179,483656.849794633,1428743548.97126
E07000147,33UF,North Norfolk, ,180,343916.623114667,964937372.35427
E07000148,33UG,Norwich, ,181,51306.313157773,39012921.1330077
E07000149,33UH,South Norfolk, ,182,253264.782342785,907625326.754092
E07000150,34UB,Corby, ,183,64618.9509659879,80278226.9319081
E07000151,34UC,Daventry, ,184,174692.366315964,665658694.54621
E07000152,34UD,East Northamptonshire, ,185,159891.38418892,509722752.905504
E07000153,34UE,Kettering, ,186,97173.3120145724,233499975.238282
E07000154,34UF,Northampton, ,187,45522.6578491584,80717623.7408074
E07000155,34UG,South Northamptonshire, ,188,218825.713411789,634065370.366127
E07000156,34UH,Wellingborough, ,189,67824.074146034,163094567.480881
E07000163,36UB,Craven, ,190,197112.513499084,1178928662.78911
E07000164,36UC,Hambleton, ,191,293275.383475897,1311172508.76116
E07000165,36UD,Harrogate, ,192,243783.897755639,1309019059.43075
E07000166,36UE,Richmondshire, ,193,219126.638618862,1318718883.17583
E07000167,36UF,Ryedale, ,194,244867.617470609,1506626765.53918
E07000168,36UG,Scarborough, ,195,236173.525392495,816613418.803849
E07000169,36UH,Selby, ,196,261849.716688483,599290224.125068
E07000170,37UB,Ashfield, ,197,66957.3320987827,109550289.803581
E07000171,37UC,Bassetlaw, ,198,156963.700126618,637852255.490139
E07000172,37UD,Broxtowe, ,199,64022.8874313195,80131010.8838374
E07000173,37UE,Gedling, ,200,68669.0723806452,119964731.611223
E07000174,37UF,Mansfield, ,201,50238.2108785731,76667342.8437045
E07000175,37UG,Newark and Sherwood, ,202,184336.879489216,651361111.465118
E07000176,37UJ,Rushcliffe, ,203,120688.379851377,409237182.822515
E07000177,38UB,Cherwell, ,204,218926.673161838,588756209.968874
E07000178,38UC,Oxford, ,205,34236.2414403419,45613434.2441477
E07000179,38UD,South Oxfordshire, ,206,201233.751228359,678445295.317249
E07000180,38UE,Vale of White Horse, ,207,170944.027352408,578679781.957657
E07000181,38UF,West Oxfordshire, ,208,155610.895646823,714407587.68262
E07000187,40UB,Mendip, ,209,194706.981398973,739393211.357491
E07000188,40UC,Sedgemoor, ,210,238851.814799277,564365105.389293
E07000189,40UD,South Somerset, ,211,233940.211734349,959013964.422606
E07000190,40UE,Taunton Deane, ,212,169970.972039129,462318144.517099
E07000191,40UF,West Somerset, ,213,172465.530026373,726952336.264617
E07000192,41UB,Cannock Chase, ,214,49322.926782951,78890810.0339496
E07000193,41UC,East Staffordshire, ,215,178801.795108603,389988008.41531
E07000194,41UD,Lichfield, ,216,124728.894981047,331272356.266566
E07000195,41UE,Newcastle-under-Lyme, ,217,103811.918018173,210962840.336552
E07000196,41UF,South Staffordshire, ,218,181219.214475906,407327779.4388
E07000197,41UG,Stafford, ,219,154173.693640376,598186620.360344
E07000198,41UH,Staffordshire Moorlands, ,220,146949.66375865,575825876.602617
E07000199,41UK,Tamworth, ,221,30118.6009732049,30855653.803474
E07000200,42UB,Babergh, ,222,184229.158667349,595264834.203926
E07000201,42UC,Forest Heath, ,223,144490.490040984,377759957.337341
E07000202,42UD,Ipswich, ,224,44004.6368068525,39429048.5871488
E07000203,42UE,Mid Suffolk, ,225,188005.068589673,871033695.296417
E07000204,42UF,St Edmundsbury, ,226,200255.059279485,656960146.252112
E07000205,42UG,Suffolk Coastal, ,227,377283.861547936,891638811.144279
E07000206,42UH,Waveney, ,228,150140.93585548,369795459.590302
E07000207,43UB,Elmbridge, ,229,51252.9829403683,96322875.611111
E07000208,43UC,Epsom and Ewell, ,230,28203.1890212362,34118442.0349542
E07000209,43UD,Guildford, ,231,125238.636319507,270980628.628695
E07000210,43UE,Mole Valley, ,232,102754.391088872,258306860.999185
E07000211,43UF,Reigate and Banstead, ,233,77903.5348759968,129129810.533208
E07000212,43UG,Runnymede, ,234,44963.4882439638,78053772.4784843
E07000213,43UH,Spelthorne, ,235,43502.0275972512,51159530.1093347
E07000214,43UJ,Surrey Heath, ,236,52369.013923565,95074533.9825625
E07000215,43UK,Tandridge, ,237,80700.4887845629,248197113.370877
E07000216,43UL,Waverley, ,238,122711.7814467,345185280.51814
E07000217,43UM,Woking, ,239,52823.2073833066,63556728.4758726
E07000218,44UB,North Warwickshire, ,240,110994.288733311,284270631.689325
E07000219,44UC,Nuneaton and Bedworth, ,241,46974.7792815554,78975304.9535324
E07000220,44UD,Rugby, ,242,111706.260345953,353512482.135575
E07000221,44UE,Stratford-on-Avon, ,243,253381.427332327,977880644.867188
E07000222,44UF,Warwick, ,244,113434.101844289,282884578.218664
E07000223,45UB,Adur, ,245,53342.7358870078,41812521.8930675
E07000224,45UC,Arun, ,246,147773.904616377,220739157.387944
E07000225,45UD,Chichester, ,247,234480.084790736,786242339.168244
E07000226,45UE,Crawley, ,248,38035.8784228726,44969477.956323
E07000227,45UF,Horsham, ,249,207657.982139879,530265204.862105
E07000228,45UG,Mid Sussex, ,250,129517.254449488,333996408.352147
E07000229,45UH,Worthing, ,251,28077.9569824332,32466922.5163362
E07000234,47UB,Bromsgrove, ,252,110397.947619685,217021261.23109
E07000235,47UC,Malvern Hills, ,253,223516.781820686,577079248.999094
E07000236,47UD,Redditch, ,254,40202.7391355343,54263744.9460369
E07000237,47UE,Worcester, ,255,30432.2993705047,33295681.7726977
E07000238,47UF,Wychavon, ,256,214568.137000893,663443352.941797
E07000239,47UG,Wyre Forest, ,257,97454.3435480971,195416510.503707
E08000001,00BL,Bolton, ,258,78749.7470961249,139798990.15865
E08000002,00BM,Bury, ,259,66804.6673978157,99500362.0195314
E08000003,00BN,Manchester, ,260,83552.0507039185,115557801.980787
E08000004,00BP,Oldham, ,261,69566.8462637445,142349041.942478
E08000005,00BQ,Rochdale, ,262,81137.7916389022,158116007.633983
E08000006,00BR,Salford, ,263,62366.3411224052,97179851.5722361
E08000007,00BS,Stockport, ,264,70913.1331707519,126068944.325229
E08000008,00BT,Tameside, ,265,53977.7714064806,103163027.282375
E08000009,00BU,Trafford, ,266,59041.5827895364,106008615.843382
E08000010,00BW,Wigan, ,267,84942.0845676653,188174398.594838
E08000011,00BX,Knowsley, ,268,66762.0915874113,86553758.4815815
E08000012,00BY,Liverpool, ,269,61185.1273885369,111811267.315482
E08000013,00BZ,St. Helens, ,270,74953.64657189,136427599.192352
E08000014,00CA,Sefton, ,271,111401.210353731,153098375.936746
E08000015,00CB,Wirral, ,272,73154.9020090659,157061952.101121
E08000016,00CC,Barnsley, ,273,123294.590983184,329129296.841045
E08000017,00CE,Doncaster, ,274,168206.793836699,568018192.177206
E08000018,00CF,Rotherham, ,275,103478.637641108,286491517.647147
E08000019,00CG,Sheffield, ,276,129149.934167443,367891603.895859
E08000020,00CH,Gateshead, ,277,87075.6757874583,142349091.894288
E08000021,00CJ,Newcastle upon Tyne, ,278,64438.3651305675,113433050.684997
E08000022,00CK,North Tyneside, ,279,60841.5731088519,82356821.3289373
E08000023,00CL,South Tyneside, ,280,47649.685221987,64454305.1910516
E08000024,00CM,Sunderland, ,281,97332.2077930075,137392603.43619
E08000025,00CN,Birmingham, ,282,104149.138028176,267782358.577113
E08000026,00CQ,Coventry, ,283,53030.7005724089,98628297.4861724
E08000027,00CR,Dudley, ,284,72677.4261218852,97947784.9139675
E08000028,00CS,Sandwell, ,285,57851.0943908341,85579754.0031925
E08000029,00CT,Solihull, ,286,98800.7013856386,178280433.732656
E08000030,00CU,Walsall, ,287,58532.3163249061,103973212.21886
E08000031,00CW,Wolverhampton, ,288,54791.4073511624,69438503.1885666
E08000032,00CX,Bradford, ,289,131298.747437027,366392354.933318
E08000033,00CY,Calderdale, ,290,105331.59404527,363946172.091444
E08000034,00CZ,Kirklees, ,291,120995.248499228,408514851.031023
E08000035,00DA,Leeds, ,292,156254.246120442,551811857.231702
E08000036,00DB,Wakefield, ,293,105602.263383684,338575804.994959
E09000001,00AA,City of London, ,294,8933.42782886436,2899270.29683121
E09000002,00AB,Barking and Dagenham, ,295,39734.2290214309,36108156.5010425
E09000003,00AC,Barnet, ,296,49775.9941693158,86799659.4286621
E09000004,00AD,Bexley, ,297,43909.8158847703,60597485.5141216
E09000005,00AE,Brent, ,298,37664.1804711883,43223361.4712683
E09000006,00AF,Bromley, ,299,74644.7918100913,150125589.29036
E09000007,00AG,Camden, ,300,25858.7463941348,21807901.0501031
E09000008,00AH,Croydon, ,301,57481.6479592036,86538334.0546992
E09000009,00AJ,Ealing, ,302,46679.003034824,55538908.8516511
E09000010,00AK,Enfield, ,303,40461.4995037877,82165250.1099501
E09000011,00AL,Greenwich, ,304,46456.2564849294,47305271.9007628
E09000012,00AM,Hackney, ,305,24983.0023132829,19056561.7180682
E09000013,00AN,Hammersmith and Fulham, ,306,23445.6016265045,16383228.194651
E09000014,00AP,Haringey, ,307,28379.5782720308,29603910.9591901
E09000015,00AQ,Harrow, ,308,33265.599300452,50443488.8416115
E09000016,00AR,Havering, ,309,62366.9239189387,112341850.76428
E09000017,00AS,Hillingdon, ,310,62384.9802720916,115725570.443968
E09000018,00AT,Hounslow, ,311,60002.6556611293,55972850.0222329
E09000019,00AU,Islington, ,312,20468.6766277717,14832962.9280837
E09000020,00AW,Kensington and Chelsea, ,313,20705.1295164529,12135350.6479649
E09000021,00AX,Kingston upon Thames, ,314,37076.2266097767,37275524.1452368
E09000022,00AY,Lambeth, ,315,33304.3530842706,26797942.8061307
E09000023,00AZ,Lewisham, ,316,40157.6475504988,35187659.1607356
E09000024,00BA,Merton, ,317,31730.335210815,37626760.3102545
E09000025,00BB,Newham, ,318,33985.933434071,36196786.593224
E09000026,00BC,Redbridge, ,319,47714.8362657947,56411334.708572
E09000027,00BD,Richmond upon Thames, ,320,66467.1234440081,57367459.514007
E09000028,00BE,Southwark, ,321,33260.1650210917,28845561.6535146
E09000029,00BF,Sutton, ,322,39107.2405928134,43834796.4313757
E09000030,00BG,Tower Hamlets, ,323,27475.6043609498,19771465.2540722
E09000031,00BH,Waltham Forest, ,324,32617.1543275502,38822002.8660641
E09000032,00BJ,Wandsworth, ,325,37889.0213978196,34269834.1038386
E09000033,00BK,Westminster, ,326,26885.368317071,21460548.927619
W06000001,00NA,Isle of Anglesey,Ynys Mon,327,331483.372271059,714471004.446041
W06000002,00NC,Gwynedd,Gwynedd,328,557135.437238497,2548306232.28845
W06000003,00NE,Conwy,Conwy,329,267418.016060988,1130265606.71515
W06000004,00NG,Denbighshire,Sir Ddinbych,330,223501.318961722,838455078.895689
W06000005,00NJ,Flintshire,Sir y Fflint,331,192818.541994645,437537769.956406
W06000006,00NL,Wrexham,Wrecsam,332,183453.326334788,503703371.540538
W06000008,00NQ,Ceredigion,Ceredigion,333,356593.553257289,1789044146.32922
W06000009,00NS,Pembrokeshire,Sir Benfro,334,658603.706400188,1618696929.37597
W06000010,00NU,Carmarthenshire,Sir Gaerfyrddin,335,537578.891205105,2371110903.75105
W06000011,00NX,Swansea,Abertawe,336,235694.452725329,379668950.809396
W06000012,00NZ,Neath Port Talbot,Castell-nedd Port Talbot,337,167859.376510246,442286609.972292
W06000013,00PB,Bridgend,Pen-y-bont ar Ogwr,338,87202.1050360505,250773569.32497
W06000014,00PD,The Vale of Glamorgan,Bro Morgannwg,339,104342.490881856,330944954.481974
W06000015,00PT,Cardiff,Caerdydd,340,89092.0159769214,140424312.367224
W06000016,00PF,Rhondda Cynon Taf,Rhondda Cynon Taf,341,126623.638174654,424173135.361271
W06000018,00PK,Caerphilly,Caerffili,342,113479.744653874,277384205.57798
W06000019,00PL,Blaenau Gwent,Blaenau Gwent,343,64568.581570873,108755174.11262
W06000020,00PM,Torfaen,Tor-faen,344,78799.5221165598,126192738.48983
W06000021,00PP,Monmouthshire,Sir Fynwy,345,217940.993032161,850302551.342924
W06000022,00PR,Newport,Casnewydd,346,148254.018050879,190487980.159969
W06000023,00NN,Powys,Powys,347,587957.34130233,5195223311.4878
W06000024,00PH,Merthyr Tydfil,Merthyr Tudful,348,65128.555067286,111903550.041827
