objectid,cty19cd,cty19nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E10000002,Buckinghamshire,482506,208561,-0.80569,51.769661,1574680639.70933,301220.696815997
2,E10000003,Cambridgeshire,520312,273864,-0.23506,52.349659,3055805826.23948,366012.364067263
3,E10000006,Cumbria,341868,527180,-2.90213,54.636379,6828753017.97519,552617.827160005
4,E10000007,Derbyshire,426752,353556,-1.6021,53.078579,2549660380.79628,372264.864454266
5,E10000008,Devon,283143,93085,-3.65698,50.725578,6585794126.78835,621810.572200306
6,E10000011,East Sussex,564123,117996,0.334559,50.938049,1724411101.43182,220009.914277966
7,E10000012,Essex,575270,215407,0.54106,51.809818,3461786415.78684,589800.008011162
8,E10000013,Gloucestershire,389595,213465,-2.15235,51.81971,2685060501.09015,351845.763631789
9,E10000014,Hampshire,452859,127536,-1.24735,51.044739,3676557917.54238,481489.491216459
10,E10000015,Hertfordshire,518883,213642,-0.27699,51.808788,1641520277.80819,260079.229590163
11,E10000016,Kent,590249,147268,0.72137,51.192951,3546362335.67088,431899.024626097
12,E10000017,Lancashire,369784,440758,-2.46091,53.86216,2896601041.39263,457378.11487879
13,E10000018,Leicestershire,442147,310191,-1.3779,52.68779,2086209822.14257,300808.316361711
14,E10000019,Lincolnshire,517984,358539,-0.23884,53.111019,5950013293.85506,505219.024674889
15,E10000020,Norfolk,600549,312292,0.964714,52.67123,5374371095.19388,447100.310480222
16,E10000021,Northamptonshire,477359,268708,-0.86668,52.31105,2366309702.45112,302397.183063397
17,E10000023,North Yorkshire,429509,466515,-1.55032,54.093712,8053157594.96221,660278.369052195
18,E10000024,Nottinghamshire,466570,359496,-1.00656,53.128502,2088523829.03167,306765.730033627
19,E10000025,Oxfordshire,448985,208334,-1.29146,51.771549,2607088918.87674,342564.406887004
20,E10000027,Somerset,309300,131077,-3.29595,51.071819,3462418993.92366,376729.677085694
21,E10000028,Staffordshire,398243,334651,-2.02756,52.909302,2628222822.23864,398317.272010395
22,E10000029,Suffolk,608219,266120,1.04919,52.253849,3826791438.01879,442963.364862999
23,E10000030,Surrey,515966,153408,-0.33911,51.268028,1667746807.98539,228066.788736324
24,E10000031,Warwickshire,429584,253588,-1.56874,52.179771,1974608059.91776,332480.719434151
25,E10000032,West Sussex,508316,118010,-0.45933,50.95134,1997465440.18831,269562.453809981
26,E10000034,Worcestershire,385792,257203,-2.20935,52.212872,1743379749.9368,306514.861806339
